communication_score,social_interaction_score,empathy_score,emotion_recognition_score,response_accuracy,average_response_time,mistake_rate,repeated_mistakes,improvement_rate,completed_sessions,difficulty_level,recommended_support_area
46.47,43.99,63.45,37.28,44.04,40.43,0.5621,10,0.0292,14,3,Behavioral/Functional Skills Support
72.57,72.98,83.63,66.11,76.33,57.37,0.3313,8,-0.0077,16,1,Behavioral/Functional Skills Support
35.74,65.9,77.99,80.07,71.21,45.43,0.3045,2,0.0362,6,1,Speech & Communication Support
31.57,80.56,64.8,41.41,42.22,63.03,0.5538,6,0.1408,12,1,Speech & Communication Support
44.63,84.58,76.06,71.78,72.22,44.19,0.348,3,0.112,15,1,Speech & Communication Support
74.74,56.77,63.24,46.05,61.0,41.61,0.5071,5,0.0447,16,3,Social Skills Support
40.42,91.02,72.31,66.39,67.31,49.53,0.3237,4,0.0128,10,3,Speech & Communication Support
75.22,90.35,55.89,68.05,68.11,64.51,0.3136,7,0.0409,24,1,Emotional/Social Understanding Support
58.2,66.36,35.16,39.44,51.35,59.38,0.525,11,0.0318,24,1,Emotional/Social Understanding Support
52.45,37.19,74.02,55.05,52.34,57.42,0.5179,11,-0.0713,13,1,Social Skills Support
65.93,65.79,42.91,39.87,70.14,31.96,0.2733,4,0.1259,28,3,Behavioral/Functional Skills Support
61.64,86.58,83.61,86.38,65.24,23.21,0.4377,7,-0.002,8,1,Speech & Communication Support
36.39,88.86,38.09,89.28,65.07,36.78,0.3836,3,0.0762,13,2,Speech & Communication Support
45.22,42.1,72.65,68.98,66.05,36.2,0.2861,3,0.0663,8,3,Social Skills Support
47.27,47.19,55.43,37.76,40.37,35.78,0.5917,7,-0.0559,10,1,Behavioral/Functional Skills Support
31.59,27.88,73.33,75.99,69.5,38.47,0.2876,4,0.0741,14,2,Social Skills Support
29.27,80.41,67.85,74.25,68.34,52.04,0.2652,4,-0.066,7,1,Speech & Communication Support
37.47,47.23,29.71,28.81,32.51,58.24,0.6052,7,0.0258,12,1,Behavioral/Functional Skills Support
71.27,31.44,37.63,30.13,34.69,64.55,0.6138,13,0.0588,23,2,Emotional/Social Understanding Support
83.09,49.43,25.29,58.98,59.51,41.5,0.3273,3,0.0615,30,1,Emotional/Social Understanding Support
82.89,34.6,44.32,38.07,48.9,33.75,0.4361,7,0.0462,10,2,Social Skills Support
35.34,87.43,76.02,86.82,66.32,41.97,0.3769,4,0.0562,9,1,Speech & Communication Support
31.39,48.56,71.99,77.97,71.28,33.53,0.4691,6,0.076,5,1,Speech & Communication Support
79.4,75.92,71.6,34.31,67.2,26.32,0.3531,5,0.011,7,2,Behavioral/Functional Skills Support
59.73,31.7,36.0,33.88,44.15,51.95,0.5991,7,0.0518,29,2,Social Skills Support
45.09,32.69,62.27,48.15,53.89,42.36,0.5077,4,0.0992,14,1,Social Skills Support
27.5,78.87,31.8,45.69,49.92,51.56,0.4188,4,-0.0163,3,2,Speech & Communication Support
40.28,37.65,76.15,88.75,59.9,52.49,0.3229,4,0.1172,18,3,Social Skills Support
57.39,60.74,46.7,32.05,46.82,50.12,0.551,10,-0.0075,26,2,Behavioral/Functional Skills Support
53.21,31.04,54.04,48.63,37.51,62.12,0.7589,13,0.1205,13,3,Social Skills Support
57.11,26.77,88.15,46.38,54.16,49.18,0.3712,4,0.1448,11,1,Social Skills Support
87.77,61.59,66.31,44.56,71.42,21.93,0.3526,3,0.0764,12,1,Behavioral/Functional Skills Support
72.41,78.69,65.49,81.74,75.88,47.98,0.2385,1,0.1308,16,1,Speech & Communication Support
49.57,48.54,60.15,84.17,52.96,46.18,0.5671,7,0.0654,9,1,Social Skills Support
70.02,78.3,64.5,76.85,71.18,31.31,0.1732,0,0.1252,5,1,Emotional/Social Understanding Support
62.56,57.2,70.42,69.69,74.1,25.93,0.3196,2,0.1363,16,3,Social Skills Support
68.38,34.05,54.55,84.81,56.37,48.47,0.4629,6,0.0106,12,2,Social Skills Support
55.48,88.94,44.21,83.04,71.53,41.53,0.327,3,0.0273,3,3,Emotional/Social Understanding Support
42.99,34.27,71.81,90.27,58.7,32.16,0.4811,8,-0.0683,29,1,Social Skills Support
29.61,80.91,60.07,85.78,64.54,30.07,0.3389,5,0.0482,22,3,Speech & Communication Support
33.98,59.25,28.64,45.07,34.18,29.25,0.6373,10,0.135,5,1,Emotional/Social Understanding Support
69.15,51.98,35.33,60.42,47.8,44.8,0.5472,9,-0.0244,27,1,Emotional/Social Understanding Support
41.61,30.09,62.65,47.03,46.5,43.8,0.3994,6,-0.0344,18,1,Social Skills Support
83.89,47.56,70.5,75.69,67.62,18.65,0.2351,2,0.0534,4,1,Social Skills Support
77.41,87.82,85.45,26.37,71.54,58.25,0.2445,3,0.0882,3,3,Behavioral/Functional Skills Support
66.52,45.18,45.79,89.77,56.25,28.5,0.4725,8,-0.0219,24,3,Social Skills Support
85.91,87.45,62.81,54.62,80.06,14.54,0.1245,3,0.1848,15,3,Behavioral/Functional Skills Support
64.41,25.17,82.35,65.87,60.36,35.33,0.3301,5,0.054,8,2,Social Skills Support
63.22,25.04,68.21,73.12,50.55,76.83,0.517,8,0.0718,26,2,Social Skills Support
91.19,90.07,86.57,75.61,76.91,40.15,0.1919,3,0.0445,29,2,Behavioral/Functional Skills Support
50.52,58.9,53.97,32.28,46.61,39.38,0.5926,7,0.028,27,1,Behavioral/Functional Skills Support
72.24,78.29,40.3,64.68,65.53,26.5,0.331,6,0.0588,16,2,Emotional/Social Understanding Support
56.55,57.17,91.84,32.67,46.29,61.6,0.5933,5,0.0091,9,1,Behavioral/Functional Skills Support
58.38,87.03,66.72,59.46,75.86,34.42,0.2114,5,0.1314,11,1,Speech & Communication Support
57.35,81.09,45.55,76.05,63.35,24.03,0.3092,4,0.0662,25,1,Emotional/Social Understanding Support
74.93,29.94,76.3,78.07,63.11,54.53,0.4071,3,0.0603,25,1,Social Skills Support
44.6,78.86,46.98,79.0,52.6,34.83,0.5385,8,0.016,16,3,Speech & Communication Support
58.58,39.74,87.68,25.27,50.63,24.0,0.4384,9,0.0621,11,2,Behavioral/Functional Skills Support
84.65,65.37,71.53,49.49,70.22,41.83,0.2176,5,0.0335,12,3,Behavioral/Functional Skills Support
69.79,62.56,84.31,70.05,69.81,28.53,0.3982,8,0.0032,15,3,Social Skills Support
29.14,80.08,39.52,78.9,55.14,38.91,0.4732,8,-0.0177,14,2,Speech & Communication Support
48.45,51.09,41.55,82.56,60.94,25.14,0.4201,8,0.0974,4,3,Emotional/Social Understanding Support
52.94,83.92,28.84,39.25,53.62,44.22,0.4973,4,0.0836,5,2,Emotional/Social Understanding Support
50.46,63.58,49.12,65.93,58.69,30.61,0.3803,5,0.1384,8,3,Emotional/Social Understanding Support
28.57,74.44,36.46,53.52,35.82,64.97,0.6999,15,-0.0786,19,2,Speech & Communication Support
27.61,65.22,31.18,61.35,46.07,52.37,0.4934,6,-0.0024,20,1,Speech & Communication Support
41.35,63.46,70.85,29.08,53.62,38.8,0.4835,6,-0.0234,15,3,Behavioral/Functional Skills Support
91.48,75.54,82.1,80.77,86.89,39.06,0.2026,2,0.0665,27,2,Social Skills Support
53.9,79.92,78.56,89.45,64.57,58.13,0.3489,4,0.0314,17,2,Speech & Communication Support
36.21,90.32,42.09,73.56,62.34,49.17,0.4197,7,0.0725,19,3,Speech & Communication Support
73.04,41.76,83.72,45.74,58.06,44.21,0.4093,3,0.0441,17,2,Social Skills Support
42.53,43.64,87.17,36.06,38.82,30.83,0.7302,8,0.0648,16,2,Behavioral/Functional Skills Support
47.58,69.36,67.25,87.97,60.69,42.72,0.3203,5,0.2302,25,2,Emotional/Social Understanding Support
75.79,89.44,30.69,81.02,63.71,30.06,0.353,3,-0.0362,17,1,Emotional/Social Understanding Support
71.78,39.84,46.76,26.56,44.99,52.17,0.5416,7,0.0618,21,2,Behavioral/Functional Skills Support
26.04,38.84,45.93,36.94,40.05,52.19,0.6163,9,0.0721,10,3,Speech & Communication Support
34.22,62.79,29.13,53.87,46.98,47.27,0.4861,8,0.2303,20,3,Emotional/Social Understanding Support
61.07,27.08,73.44,61.51,52.46,23.34,0.43,3,0.0814,14,2,Social Skills Support
56.5,44.45,54.47,70.93,54.62,34.05,0.4432,8,0.0237,17,2,Social Skills Support
89.26,59.06,74.07,72.27,61.16,34.02,0.434,7,0.0882,26,2,Social Skills Support
39.73,78.89,54.31,72.32,58.24,24.24,0.4429,7,0.1199,9,3,Speech & Communication Support
62.77,42.24,66.55,56.29,44.0,34.01,0.6411,13,-0.0573,20,2,Speech & Communication Support
26.34,53.05,73.07,86.28,64.74,20.37,0.3423,1,-0.0231,29,3,Speech & Communication Support
34.54,69.44,59.56,60.05,62.78,8.0,0.3223,5,0.0417,29,2,Speech & Communication Support
79.29,72.23,60.53,50.08,62.57,30.07,0.3706,6,0.1576,8,1,Behavioral/Functional Skills Support
82.98,50.89,51.53,45.43,55.92,51.43,0.4547,7,-0.0377,17,3,Behavioral/Functional Skills Support
86.84,38.89,62.52,60.95,66.35,35.87,0.3174,4,-0.0442,27,1,Emotional/Social Understanding Support
58.31,42.66,47.96,68.49,73.53,45.41,0.216,4,0.0086,12,2,Social Skills Support
84.08,39.05,31.11,83.67,56.62,45.67,0.3609,6,-0.0411,6,1,Emotional/Social Understanding Support
91.27,88.44,32.1,51.53,69.78,36.54,0.2407,2,-0.0284,12,1,Emotional/Social Understanding Support
35.6,53.95,34.6,88.91,55.34,35.52,0.531,8,0.1269,28,1,Emotional/Social Understanding Support
58.06,68.67,30.85,54.55,44.53,28.2,0.4144,4,0.0723,6,2,Emotional/Social Understanding Support
91.75,90.63,53.35,30.41,71.17,17.57,0.2744,1,0.2292,23,2,Behavioral/Functional Skills Support
72.98,48.93,82.08,41.15,57.95,24.62,0.2863,4,0.0211,9,2,Behavioral/Functional Skills Support
36.55,87.29,27.88,62.86,58.31,40.49,0.4702,8,-0.0558,28,1,Emotional/Social Understanding Support
46.1,85.46,78.36,88.44,77.37,36.18,0.2983,5,0.0696,8,2,Speech & Communication Support
61.59,33.31,51.31,45.99,56.71,40.29,0.5114,3,0.038,22,1,Social Skills Support
57.2,42.41,41.18,42.76,52.8,18.23,0.4264,8,-0.0065,16,2,Emotional/Social Understanding Support
81.93,44.63,88.88,51.47,61.1,27.43,0.3263,3,-0.0257,8,1,Social Skills Support
43.85,71.58,85.98,37.13,61.82,36.07,0.4264,8,0.0705,25,2,Behavioral/Functional Skills Support
63.46,35.47,55.2,49.75,54.05,56.19,0.405,6,-0.0334,11,2,Social Skills Support
29.91,36.93,31.76,76.24,39.16,32.0,0.6235,11,0.0415,7,2,Speech & Communication Support
85.65,44.77,69.14,62.5,73.68,39.3,0.2786,5,0.1814,19,3,Social Skills Support
46.55,80.46,76.64,58.52,66.91,41.67,0.2495,0,-0.0089,17,2,Speech & Communication Support
78.48,84.43,50.81,91.77,73.14,42.2,0.3043,3,0.0715,20,3,Emotional/Social Understanding Support
53.64,59.19,59.12,26.36,49.36,26.15,0.4486,6,0.0222,3,2,Speech & Communication Support
56.79,42.1,27.09,71.26,53.31,46.6,0.5188,9,0.0793,13,1,Emotional/Social Understanding Support
29.76,55.21,38.89,60.09,48.9,33.75,0.5065,7,-0.1219,3,3,Speech & Communication Support
60.94,55.79,89.45,72.36,51.35,37.01,0.4627,5,0.1135,3,2,Social Skills Support
85.22,73.63,33.53,71.86,54.05,36.54,0.5048,12,0.0433,30,1,Emotional/Social Understanding Support
30.41,73.49,62.01,81.0,64.78,35.44,0.3861,6,-0.0036,4,3,Speech & Communication Support
79.02,32.09,66.17,74.99,63.28,45.31,0.4008,4,0.0875,5,3,Social Skills Support
55.11,32.6,63.03,37.43,42.52,54.66,0.5148,8,0.0784,22,1,Social Skills Support
35.24,39.63,83.47,65.41,50.57,47.25,0.49,5,-0.0076,3,2,Speech & Communication Support
29.5,36.52,50.75,83.17,48.5,47.19,0.4921,10,-0.0961,23,2,Speech & Communication Support
42.64,82.25,26.39,38.12,49.98,33.19,0.4591,5,0.0597,17,1,Behavioral/Functional Skills Support
27.04,56.17,89.06,43.69,44.57,42.44,0.5725,6,-0.0433,22,2,Speech & Communication Support
79.64,78.14,75.71,91.88,75.16,25.49,0.1841,2,0.0911,17,2,Emotional/Social Understanding Support
44.37,71.9,25.49,48.81,64.13,37.96,0.3817,6,0.0244,30,1,Emotional/Social Understanding Support
65.52,30.65,29.37,30.02,47.83,33.89,0.5387,4,-0.1108,30,2,Emotional/Social Understanding Support
56.61,72.83,91.82,48.47,65.63,37.89,0.397,8,0.0278,3,2,Behavioral/Functional Skills Support
78.47,42.33,79.92,25.21,66.14,52.12,0.3673,9,0.0253,19,3,Behavioral/Functional Skills Support
66.44,28.95,38.5,61.91,51.73,66.05,0.4426,8,0.1177,21,3,Behavioral/Functional Skills Support
81.3,29.71,26.22,26.67,40.42,54.29,0.5976,7,-0.0496,16,2,Emotional/Social Understanding Support
83.77,59.81,80.77,37.25,75.66,31.06,0.2174,4,-0.0656,29,3,Behavioral/Functional Skills Support
57.57,74.69,41.27,61.3,60.75,52.92,0.3645,7,-0.0006,29,2,Emotional/Social Understanding Support
44.03,32.96,59.31,36.1,35.52,53.05,0.7555,11,-0.0087,7,1,Social Skills Support
46.45,40.08,56.6,81.42,61.72,33.58,0.3582,8,-0.0025,3,2,Social Skills Support
59.77,68.78,49.08,54.42,66.98,38.2,0.3573,4,0.0071,8,3,Emotional/Social Understanding Support
43.3,56.38,64.9,86.59,62.86,38.75,0.3869,10,0.0723,22,3,Speech & Communication Support
42.22,76.94,60.83,25.94,51.28,42.17,0.524,6,-0.0305,9,1,Behavioral/Functional Skills Support
50.41,37.51,34.25,40.87,37.66,60.11,0.6517,10,-0.1032,23,2,Emotional/Social Understanding Support
80.53,40.83,44.86,45.22,53.92,36.23,0.4625,6,-0.1039,28,2,Social Skills Support
57.79,62.17,26.36,81.43,41.15,51.23,0.6197,8,-0.0557,22,1,Emotional/Social Understanding Support
28.01,80.24,53.2,52.79,50.43,66.56,0.5169,8,0.009,13,2,Speech & Communication Support
40.78,85.68,43.67,68.41,64.79,19.42,0.3168,2,0.1749,21,3,Speech & Communication Support
55.77,67.61,77.96,41.18,74.24,38.52,0.2861,3,0.1119,24,2,Behavioral/Functional Skills Support
81.98,91.74,32.18,43.18,71.24,22.91,0.2322,1,0.0756,15,1,Emotional/Social Understanding Support
66.41,55.85,33.75,51.63,47.11,62.83,0.5239,10,-0.0061,24,2,Emotional/Social Understanding Support
33.18,32.66,45.12,53.89,35.95,46.19,0.5885,11,0.0406,29,3,Social Skills Support
74.13,62.38,73.52,70.65,63.14,47.38,0.3788,3,0.0358,27,2,Social Skills Support
31.03,69.64,83.0,34.48,67.89,47.16,0.2957,6,-0.0435,7,2,Speech & Communication Support
90.66,41.9,73.62,44.01,55.0,46.59,0.4511,9,0.0405,7,3,Social Skills Support
73.52,26.64,72.15,91.34,61.56,35.99,0.3499,5,0.074,30,3,Emotional/Social Understanding Support
63.58,45.33,83.72,35.9,74.12,25.0,0.2767,2,0.1862,18,3,Social Skills Support
70.42,77.97,81.94,90.74,82.99,34.29,0.1675,3,0.0872,8,3,Speech & Communication Support
58.28,73.9,38.58,39.16,64.8,27.23,0.3079,2,0.0735,15,2,Emotional/Social Understanding Support
91.1,68.66,71.89,46.56,77.15,18.05,0.2763,2,0.1767,15,1,Behavioral/Functional Skills Support
56.29,46.65,44.21,34.11,54.22,32.79,0.4633,8,0.0958,24,2,Behavioral/Functional Skills Support
32.32,66.73,81.91,47.17,59.26,38.35,0.4119,8,-0.0384,17,1,Speech & Communication Support
28.55,47.8,71.21,36.78,58.65,22.24,0.4131,7,-0.02,12,1,Speech & Communication Support
86.53,39.41,45.77,56.07,50.18,49.96,0.4995,2,0.1216,14,3,Social Skills Support
63.48,35.43,70.97,86.4,76.54,53.45,0.2562,5,0.1193,29,2,Social Skills Support
43.34,35.55,45.53,27.34,36.35,54.04,0.6436,3,0.0318,22,1,Behavioral/Functional Skills Support
88.26,28.12,75.92,74.39,68.85,41.9,0.3742,6,-0.0075,23,1,Social Skills Support
82.25,51.8,69.8,51.81,72.93,31.68,0.2987,5,0.165,24,2,Social Skills Support
33.97,44.89,30.79,53.67,38.78,56.26,0.6643,9,0.0451,4,1,Emotional/Social Understanding Support
64.55,58.94,34.96,54.94,52.54,44.64,0.4111,8,-0.0425,22,3,Emotional/Social Understanding Support
65.55,52.47,46.2,86.38,74.26,8.0,0.1972,8,0.1028,8,1,Emotional/Social Understanding Support
67.77,39.03,40.12,77.2,52.25,51.91,0.4356,4,-0.0862,14,3,Social Skills Support
38.18,60.5,49.4,57.33,44.04,39.67,0.5232,10,-0.0151,28,3,Speech & Communication Support
58.75,86.77,58.99,54.37,65.91,34.85,0.2842,6,0.082,4,2,Behavioral/Functional Skills Support
25.29,54.92,25.41,30.02,27.3,31.72,0.7055,11,-0.0394,21,3,Speech & Communication Support
64.22,89.79,83.16,46.37,52.96,36.86,0.5039,7,0.057,29,3,Behavioral/Functional Skills Support
37.16,37.56,57.11,81.46,54.03,34.36,0.4224,5,-0.0107,16,3,Speech & Communication Support
52.38,64.85,54.23,63.79,60.67,30.6,0.3861,6,0.0964,3,1,Speech & Communication Support
58.54,61.22,62.01,72.87,65.54,46.52,0.3791,6,0.0273,26,1,Speech & Communication Support
77.72,85.9,64.77,45.06,64.28,57.89,0.4093,5,0.0704,14,1,Behavioral/Functional Skills Support
35.45,83.89,53.47,43.42,61.97,35.2,0.3169,5,0.0249,14,1,Speech & Communication Support
38.51,74.0,78.97,33.4,50.75,53.78,0.5413,7,0.0163,18,1,Behavioral/Functional Skills Support
84.38,43.19,76.94,69.37,59.86,27.19,0.2965,6,0.0629,12,2,Social Skills Support
71.62,64.16,59.79,62.15,57.52,34.06,0.4355,12,0.0639,28,2,Emotional/Social Understanding Support
47.8,82.61,81.65,32.31,72.3,37.85,0.118,1,0.105,17,1,Behavioral/Functional Skills Support
57.22,39.8,58.93,84.55,57.69,55.29,0.3721,6,0.0477,6,3,Social Skills Support
83.92,33.15,70.73,39.52,35.06,57.28,0.6437,11,-0.0438,4,3,Social Skills Support
69.75,86.67,52.33,51.11,67.83,43.52,0.3209,6,0.0219,26,1,Behavioral/Functional Skills Support
73.02,44.21,75.77,67.2,62.34,38.72,0.3742,6,-0.1169,27,3,Social Skills Support
37.59,82.51,28.57,64.88,63.68,31.43,0.4087,4,0.018,25,2,Emotional/Social Understanding Support
40.26,74.7,40.94,90.7,55.97,21.79,0.3962,2,-0.0302,21,3,Speech & Communication Support
35.66,57.59,41.33,40.79,43.54,55.93,0.6188,10,-0.0244,19,2,Speech & Communication Support
83.48,64.01,52.6,56.16,53.8,34.19,0.4303,6,-0.073,11,2,Emotional/Social Understanding Support
45.58,47.3,67.42,37.71,47.17,70.08,0.534,5,0.0439,11,2,Behavioral/Functional Skills Support
39.98,36.28,56.57,48.66,49.03,30.4,0.4772,7,-0.0106,12,3,Social Skills Support
76.86,68.6,72.03,51.99,75.62,40.99,0.1557,0,0.0046,4,1,Behavioral/Functional Skills Support
57.61,65.26,54.31,86.6,51.37,43.62,0.4879,7,0.1834,11,3,Emotional/Social Understanding Support
64.66,26.71,25.5,82.06,53.24,46.4,0.4023,8,0.0452,15,3,Emotional/Social Understanding Support
76.12,41.13,35.1,46.19,50.94,27.14,0.4056,8,0.1192,8,3,Emotional/Social Understanding Support
40.11,53.25,62.42,33.06,50.97,38.28,0.4502,7,-0.0815,7,2,Behavioral/Functional Skills Support
35.8,45.24,34.71,86.77,49.5,66.1,0.5881,9,0.0321,4,2,Emotional/Social Understanding Support
55.33,58.88,90.95,39.96,75.74,35.2,0.1151,3,-0.0002,11,2,Behavioral/Functional Skills Support
28.46,87.52,52.71,77.52,58.69,26.9,0.3932,6,0.0316,19,3,Speech & Communication Support
91.65,62.23,71.19,68.11,77.23,47.24,0.185,4,0.0784,12,3,Social Skills Support
55.19,36.04,44.3,59.17,45.21,54.85,0.4543,6,-0.0103,20,1,Social Skills Support
65.3,76.37,28.6,58.91,51.05,39.79,0.4716,5,0.0656,6,2,Emotional/Social Understanding Support
39.33,86.42,90.43,45.08,70.78,20.73,0.2075,6,0.0821,4,1,Speech & Communication Support
81.47,66.64,62.72,46.37,71.95,30.76,0.2179,2,-0.1249,4,2,Behavioral/Functional Skills Support
69.12,30.89,56.75,39.56,57.85,39.87,0.4824,4,0.0931,28,1,Social Skills Support
87.95,33.42,52.81,68.47,48.01,18.42,0.6023,10,-0.0412,11,3,Social Skills Support
28.14,36.68,28.25,37.87,32.95,49.0,0.6541,8,0.0206,20,2,Speech & Communication Support
28.64,83.03,26.52,60.54,52.19,17.05,0.5316,6,0.1223,3,1,Emotional/Social Understanding Support
90.27,54.68,48.08,75.47,70.04,37.08,0.3505,4,-0.0122,21,2,Speech & Communication Support
28.49,87.3,29.89,29.9,38.76,29.95,0.7342,11,0.0555,19,2,Speech & Communication Support
27.54,44.62,33.22,31.86,27.68,38.8,0.6705,13,0.0826,29,1,Social Skills Support
40.8,78.62,86.33,52.2,63.17,35.82,0.3689,7,0.1643,8,3,Speech & Communication Support
34.29,44.65,45.5,42.51,31.78,45.69,0.6772,8,0.1179,15,3,Speech & Communication Support
29.16,42.29,78.87,75.37,56.51,24.56,0.4025,5,0.0706,26,3,Speech & Communication Support
35.38,84.34,49.69,28.33,56.99,20.62,0.4369,9,-0.011,21,2,Behavioral/Functional Skills Support
82.6,50.59,75.68,63.68,72.77,24.77,0.2335,4,0.0161,27,3,Social Skills Support
38.38,32.52,77.59,62.17,47.78,21.36,0.4563,8,0.1882,30,2,Social Skills Support
64.09,91.42,41.17,42.57,74.63,51.35,0.1493,1,0.015,21,1,Emotional/Social Understanding Support
91.91,44.73,37.32,43.88,58.78,40.16,0.4188,4,0.0517,3,2,Emotional/Social Understanding Support
52.26,46.99,30.79,67.49,41.18,39.14,0.575,9,-0.0088,4,1,Emotional/Social Understanding Support
48.04,76.31,74.75,41.53,57.4,24.63,0.4488,8,0.0042,28,1,Behavioral/Functional Skills Support
47.76,27.84,83.21,64.02,59.92,50.89,0.2822,7,0.0729,26,3,Social Skills Support
75.46,69.07,68.61,85.59,80.76,13.45,0.1599,6,0.0248,8,2,Emotional/Social Understanding Support
34.53,85.31,84.26,88.77,68.33,46.3,0.3661,7,0.0646,16,3,Emotional/Social Understanding Support
68.56,70.68,42.13,73.35,75.65,52.01,0.2907,2,0.097,19,3,Emotional/Social Understanding Support
77.2,30.76,37.78,55.52,54.04,30.02,0.4533,3,-0.1013,8,1,Social Skills Support
45.92,46.82,71.09,27.74,43.26,23.46,0.5748,7,-0.0038,15,2,Behavioral/Functional Skills Support
35.95,40.18,79.81,42.93,52.37,31.08,0.4303,8,0.161,23,2,Speech & Communication Support
34.9,48.68,50.78,57.79,42.86,45.25,0.6086,9,-0.0271,3,1,Speech & Communication Support
65.27,48.94,54.68,69.09,57.31,56.9,0.4696,5,-0.0298,25,1,Social Skills Support
33.65,79.4,79.85,74.5,53.33,45.13,0.5084,4,-0.0077,29,2,Social Skills Support
63.49,75.08,36.7,87.42,69.58,41.05,0.3281,5,0.1743,20,3,Emotional/Social Understanding Support
32.12,74.58,28.7,79.25,54.98,43.91,0.4575,2,0.0343,21,1,Emotional/Social Understanding Support
38.92,70.75,33.6,39.04,47.65,55.97,0.4739,7,0.0926,29,2,Emotional/Social Understanding Support
86.14,84.0,34.59,52.61,77.8,29.63,0.2395,7,0.0268,15,3,Emotional/Social Understanding Support
89.61,45.52,26.58,42.08,46.58,45.36,0.5881,8,0.0085,16,2,Emotional/Social Understanding Support
64.63,31.78,60.99,56.36,64.13,52.06,0.2836,3,-0.015,15,1,Social Skills Support
54.73,41.72,53.77,70.13,57.1,48.22,0.4553,9,-0.0811,16,3,Social Skills Support
48.23,81.25,75.4,44.96,70.55,17.03,0.2963,2,0.0927,3,2,Behavioral/Functional Skills Support
61.89,44.43,90.1,66.65,70.05,47.73,0.2839,2,0.1227,20,1,Social Skills Support
83.89,45.28,47.3,69.91,62.29,51.02,0.5143,4,0.0702,28,3,Social Skills Support
69.37,35.46,38.0,83.91,58.95,45.92,0.4102,3,0.0953,3,1,Social Skills Support
